image, method, kernel, grossDiff
case2,CONTOUR_STRIP,19,0
case2,CONTOUR_STRIP,21,0
case2,CONTOUR_STRIP,23,0
case2,CONTOUR_STRIP,25,0
case2,CONTOUR_STRIP,27,0
case2,CONTOUR_STRIP,29,0
case3,NOTHING,1,34686
case3,NOTHING,3,34686
case3,NOTHING,5,34686
case3,NOTHING,7,34686
case3,NOTHING,9,34686
case3,NOTHING,11,34686
case3,NOTHING,13,34686
case3,NOTHING,15,34686
case3,NOTHING,17,34686
case3,NOTHING,19,34686
case3,NOTHING,21,34686
case3,NOTHING,23,34686
case3,NOTHING,25,34686
case3,NOTHING,27,34686
case3,NOTHING,29,34686
case3,GAUSSIAN_BLUR,1,34686
case3,GAUSSIAN_BLUR,3,11176
case3,GAUSSIAN_BLUR,5,38069
case3,GAUSSIAN_BLUR,7,8504
case3,GAUSSIAN_BLUR,9,26542
case3,GAUSSIAN_BLUR,11,19801
case3,GAUSSIAN_BLUR,13,12337
case3,GAUSSIAN_BLUR,15,42793
case3,GAUSSIAN_BLUR,17,0
case3,GAUSSIAN_BLUR,19,0
case3,GAUSSIAN_BLUR,21,0
case3,GAUSSIAN_BLUR,23,0
case3,GAUSSIAN_BLUR,25,0
case3,GAUSSIAN_BLUR,27,0
case3,GAUSSIAN_BLUR,29,0
case3,MEDIAN_BLUR,1,34686
case3,MEDIAN_BLUR,3,40243
case3,MEDIAN_BLUR,5,10677
case3,MEDIAN_BLUR,7,12153
case3,MEDIAN_BLUR,9,21594
case3,MEDIAN_BLUR,11,21862
case3,MEDIAN_BLUR,13,11829
case3,MEDIAN_BLUR,15,50545
case3,MEDIAN_BLUR,17,34580
case3,MEDIAN_BLUR,19,42483
case3,MEDIAN_BLUR,21,17287
case3,MEDIAN_BLUR,23,12549
case3,MEDIAN_BLUR,25,15372
case3,MEDIAN_BLUR,27,23877
case3,MEDIAN_BLUR,29,0
case3,BOX_FILTER_BLUR,1,34686
case3,BOX_FILTER_BLUR,3,25402
case3,BOX_FILTER_BLUR,5,22763
case3,BOX_FILTER_BLUR,7,17753
case3,BOX_FILTER_BLUR,9,0
case3,BOX_FILTER_BLUR,11,0
case3,BOX_FILTER_BLUR,13,0
case3,BOX_FILTER_BLUR,15,0
case3,BOX_FILTER_BLUR,17,0
case3,BOX_FILTER_BLUR,19,0
case3,BOX_FILTER_BLUR,21,0
case3,BOX_FILTER_BLUR,23,0
case3,BOX_FILTER_BLUR,25,0
